id,name,symbol,slug,circulating_supply,total_supply,max_supply,date_added,num_market_pairs,cmc_rank,last_updated,quote
825,Tether,USDT,tether,2806421735.6243,3080109502.1043,,2015-02-25T00:00:00.000Z,1373,8,2018-10-04T07:42:27.000Z,"{'USD': {'price': 0.998989727153, 'volume_24h': 2650583247.78885, 'percent_change_1h': -0.0141563, 'percent_change_24h': -0.0742972, 'percent_change_7d': -0.157003, 'market_cap': 2803586483.9475684, 'last_updated': '2018-10-04T07:42:27.000Z'}}"
131,Dash,DASH,dash,8362071.17852966,8362071.17852966,18900000,2014-02-14T00:00:00.000Z,179,12,2018-10-04T07:42:04.000Z,"{'USD': {'price': 180.327250163, 'volume_24h': 330039170.6998, 'percent_change_1h': -0.259362, 'percent_change_24h': 1.52059, 'percent_change_7d': -3.16749, 'market_cap': 1507909301.2915304, 'last_updated': '2018-10-04T07:42:04.000Z'}}"
1437,Zcash,ZEC,zcash,4937556.25,4937556.25,,2016-10-29T00:00:00.000Z,117,21,2018-10-04T07:42:28.000Z,"{'USD': {'price': 123.613870727, 'volume_24h': 144622693.438839, 'percent_change_1h': -0.145642, 'percent_change_24h': 1.01508, 'percent_change_7d': -8.90964, 'market_cap': 610350439.9947909, 'last_updated': '2018-10-04T07:42:28.000Z'}}"
1684,Qtum,QTUM,qtum,88936216,100936216,,2017-05-24T00:00:00.000Z,130,29,2018-10-04T07:42:30.000Z,"{'USD': {'price': 3.77924315528, 'volume_24h': 140288423.697985, 'percent_change_1h': -0.307408, 'percent_change_24h': 1.72573, 'percent_change_7d': 4.50915, 'market_cap': 336111585.5745036, 'last_updated': '2018-10-04T07:42:30.000Z'}}"
2608,Mithril,MITH,mithril,387392092.119309,1000000000,,2018-03-24T00:00:00.000Z,25,59,2018-10-04T07:42:39.000Z,"{'USD': {'price': 0.289343097977, 'volume_24h': 23894321.713548, 'percent_change_1h': 0.362738, 'percent_change_24h': 2.90536, 'percent_change_7d': -2.85914, 'market_cap': 112089228.06559223, 'last_updated': '2018-10-04T07:42:39.000Z'}}"
1414,ZCoin,XZC,zcoin,5757840.97134081,5757840.97134081,21400000,2016-10-06T00:00:00.000Z,25,101,2018-10-04T07:42:29.000Z,"{'USD': {'price': 9.66624196157, 'volume_24h': 11393291.4686762, 'percent_change_1h': -0.219112, 'percent_change_24h': 0.2645, 'percent_change_7d': 5.88768, 'market_cap': 55656684.0052215, 'last_updated': '2018-10-04T07:42:29.000Z'}}"
2458,Odyssey,OCN,odyssey,4750000000,10000000000,,2018-01-24T00:00:00.000Z,21,102,2018-10-04T07:42:40.000Z,"{'USD': {'price': 0.0115051511206, 'volume_24h': 27526593.3423531, 'percent_change_1h': -0.188535, 'percent_change_24h': -4.53306, 'percent_change_7d': 76.2836, 'market_cap': 54649467.822850004, 'last_updated': '2018-10-04T07:42:40.000Z'}}"
2638,Cortex,CTXC,cortex,149792458,299792458,,2018-04-16T00:00:00.000Z,20,103,2018-10-04T07:42:43.000Z,"{'USD': {'price': 0.35580585391, 'volume_24h': 8952213.35172414, 'percent_change_1h': -0.821958, 'percent_change_24h': -6.69283, 'percent_change_7d': 23.1053, 'market_cap': 53297033.42796782, 'last_updated': '2018-10-04T07:42:43.000Z'}}"
2307,Bibox Token,BIX,bibox-token,102339166,267941449,,2017-12-24T00:00:00.000Z,30,120,2018-10-04T07:42:27.000Z,"{'USD': {'price': 0.416089261062, 'volume_24h': 72119564.340531, 'percent_change_1h': -0.0703054, 'percent_change_24h': 1.87981, 'percent_change_7d': 0.281824, 'market_cap': 42582227.95864136, 'last_updated': '2018-10-04T07:42:27.000Z'}}"
1886,Dent,DENT,dent,17241387101.1659,100000000000,,2017-08-12T00:00:00.000Z,29,126,2018-10-04T07:42:34.000Z,"{'USD': {'price': 0.00227369098526, 'volume_24h': 8949604.62134184, 'percent_change_1h': 0.0294462, 'percent_change_24h': 3.42859, 'percent_change_7d': 4.7714, 'market_cap': 39201586.42529895, 'last_updated': '2018-10-04T07:42:34.000Z'}}"
2289,Gifto,GTO,gifto,531819169.31438,1000000000,,2017-12-18T00:00:00.000Z,27,136,2018-10-04T07:42:38.000Z,"{'USD': {'price': 0.0672165575557, 'volume_24h': 25641226.271287, 'percent_change_1h': 0.113008, 'percent_change_24h': 2.37009, 'percent_change_7d': 4.00231, 'market_cap': 35747053.80344459, 'last_updated': '2018-10-04T07:42:38.000Z'}}"
2826,Zipper,ZIP,zip,16199999812,100000000000,,2018-05-28T00:00:00.000Z,9,141,2018-10-04T07:42:45.000Z,"{'USD': {'price': 0.00204385336198, 'volume_24h': 5004971.84578594, 'percent_change_1h': 0.107103, 'percent_change_24h': -10.8132, 'percent_change_7d': 58.9566, 'market_cap': 33110424.07983157, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
3020,BHPCash,BHPC,bhpcash,25663967.111,100000000,,2018-08-03T00:00:00.000Z,4,154,2018-10-04T07:42:45.000Z,"{'USD': {'price': 1.18067513564, 'volume_24h': 7627697.87949131, 'percent_change_1h': 0.404233, 'percent_change_24h': -0.987613, 'percent_change_7d': 0.905511, 'market_cap': 30300807.849840425, 'last_updated': '2018-10-04T07:42:45.000Z'}}"
2457,TrueChain,TRUE,truechain,46448735,100000000,,2018-01-24T00:00:00.000Z,11,170,2018-10-04T07:42:38.000Z,"{'USD': {'price': 0.568078611573, 'volume_24h': 24755600.5319299, 'percent_change_1h': -0.0821198, 'percent_change_24h': 0.99304, 'percent_change_7d': 1.35363, 'market_cap': 26386532.88812221, 'last_updated': '2018-10-04T07:42:38.000Z'}}"
2446,DATA,DTA,data,7012671744.4009,11500000000,11500000000,2018-01-22T00:00:00.000Z,16,174,2018-10-04T07:42:39.000Z,"{'USD': {'price': 0.00372517135421, 'volume_24h': 5899695.92199587, 'percent_change_1h': -0.252111, 'percent_change_24h': 0.552487, 'percent_change_7d': 35.9118, 'market_cap': 26123403.898720104, 'last_updated': '2018-10-04T07:42:39.000Z'}}"
624,bitCNY,BITCNY,bitcny,159759000,159759000,,2014-09-23T00:00:00.000Z,20,190,2018-10-04T07:42:18.000Z,"{'USD': {'price': 0.146262444218, 'volume_24h': 8398473.72088982, 'percent_change_1h': -0.0671099, 'percent_change_24h': 0.54348, 'percent_change_7d': 0.642615, 'market_cap': 23366741.825823463, 'last_updated': '2018-10-04T07:42:18.000Z'}}"
